season,player_id,player_name,goals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,clearances,ownGoals,dribbledPast,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,saves,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,player_slug,player_userCount,team_name,team_slug
2021,103417,Isco,1,0,17,68,9,3,2,4,11.11,0,0,0,1,0,0,0,1,0,0,0,0,6.92,9,2,0,0,7,3,0,235,24,259,90.73,85,152,85,10,2,25,12,70.59,0,0,2,0,0,0,0,0,0,1,0,34,55.74,4,66.67,38,56.72,332,8,7,7,58,14,isco,13952,Real Madrid,real-madrid
2021,27583,Eden Hazard,0,2,25,80.65,12,7,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0,6.92,6,2,0,0,4,2,1,350,35,385,90.91,69,283,199,27,2,16.67,6,85.71,0,0,10,0,0,0,0,0,0,2,0,61,67.03,1,14.29,62,63.27,725,30,9,11,87,18,eden-hazard,74210,Real Madrid,real-madrid
2021,604954,Borja Mayoral,6,0,14,48.28,17,7,3,7,35.29,1,1,0,6,0,0,2,4,0,4,100,0,6.91,7,4,3,0,1,1,1,186,67,253,73.52,61,128,67,13,3,42.86,6,50,0,0,10,0,0,0,0,0,0,3,0,41,48.81,21,41.18,62,45.93,1050,20,13,16,129,18,borja-mayoral,2370,Getafe,getafe
2021,52663,Óscar de Marcos,1,1,4,30.77,3,3,0,0,33.33,0,0,0,0,1,0,0,1,0,3,0,0,6.91,50,19,26,0,15,4,2,643,224,867,74.16,294,358,192,18,9,18.75,35,38.46,0,0,13,0,0,0,0,0,0,4,0,61,54.46,23,58.97,84,55.63,1683,8,25,7,305,22,oscar-de-marcos,646,Athletic Club,athletic-club
2021,976141,Jon Moncayola,2,2,13,68.42,41,12,21,8,4.88,0,0,0,1,1,0,0,2,1,1,0,0,6.91,40,20,35,0,27,2,3,1058,231,1289,82.08,493,596,277,32,31,31.63,104,56.83,0,0,38,3,0,0,0,0,0,3,0,67,50.38,19,46.34,86,49.43,2921,15,20,15,366,36,jon-moncayola,366,Osasuna,osasuna
2021,81992,Leandro Cabrera,2,0,1,20,18,6,9,3,11.11,0,0,0,2,0,1,1,0,2,2,0,0,6.91,37,44,215,1,13,1,0,1401,428,1829,76.6,887,514,148,10,0,0,164,40.29,0,0,48,1,0,0,0,0,0,7,0,57,53.77,84,62.69,141,58.75,3330,21,32,3,500,37,leandro-cabrera,315,Espanyol,espanyol
2021,33381,Papu Gómez,5,2,28,51.85,34,12,12,10,14.71,0,0,0,4,1,0,1,4,0,1,0,0,6.9,19,7,9,0,26,6,1,797,99,896,88.95,330,487,269,24,20,35.09,56,69.14,0,0,10,1,0,0,0,0,0,4,0,95,48.97,10,33.33,105,46.88,1787,48,21,28,232,29,papu-gomez,6553,Sevilla,sevilla
2021,797291,Unai Simón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,1,15,1,0,0,0,497,249,746,66.62,389,108,32,1,0,0,172,41.55,83,32,29,2,10,11,11,27,2,3,0,0,0,8,88.89,8,88.89,3060,1,0,0,256,34,unai-simon,2257,Athletic Club,athletic-club
2021,966801,Oihan Sancet,6,3,23,62.16,30,14,10,6,20,0,0,0,6,0,1,0,5,1,5,0,0,6.9,12,5,12,0,15,5,4,341,95,436,78.21,72,272,189,27,3,30,13,76.47,0,0,16,1,0,0,0,0,0,2,0,62,41.06,17,35.42,79,39.7,1424,27,20,45,227,27,oihan-sancet,1410,Athletic Club,athletic-club
2021,83506,Hugo Mallo,1,2,8,50,17,2,11,4,5.88,0,0,0,1,0,0,1,0,0,6,0,0,6.9,45,20,47,0,15,4,1,732,221,953,76.81,364,379,194,20,11,15.07,29,28.71,0,0,21,4,0,0,0,0,0,3,2,57,45.24,41,59.42,98,50.26,1829,4,38,10,350,21,hugo-mallo,347,Celta Vigo,celta-vigo
2021,1011375,Abdessamad Ezzalzouli,1,1,34,57.63,16,4,6,6,6.25,0,0,0,1,0,0,0,1,1,2,0,0,6.9,17,9,0,0,3,2,0,128,40,168,76.19,32,98,66,6,2,13.33,2,100,0,0,6,2,0,0,0,0,0,4,0,66,55,3,30,69,53.08,581,15,17,12,122,10,abdessamad-ezzalzouli,13513,Barcelona,barcelona
2021,96367,Rafinha Alcântara,1,3,18,50,14,2,9,3,7.14,0,0,0,1,0,0,1,0,1,0,0,0,6.9,43,12,3,0,12,1,0,577,75,652,88.5,220,361,181,9,4,19.05,24,70.59,0,0,9,1,0,0,0,0,0,3,0,99,57.89,13,46.43,112,56.28,1060,38,21,22,162,17,rafinha-alcantara,2454,Real Sociedad,real-sociedad
2021,794939,Marc Cucurella,0,0,1,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,15,4,19,78.95,0,15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,2,100,22,1,0,0,6,1,marc-cucurella,6076,Getafe,getafe
